Return on investment after one year,College String Number,Ranking,College,Course duration,Foregone salary,Number of Records,Post-MBA salary,Total cost,Tuition fee
27.9%,779542,161002,Case Western Reserve Weatherhead (US),2,"$72,602",1,"$81,195","161,002","$88,400"
26.6%,779601,215740,Carnegie Mellon Tepper (US),2,"$100,740",1,"$107,700","215,740","$115,000"
25.2%,783771,181638.476190476,Boston (US),2,"$95,770",1,"$93,591","181,638","$85,868"
18.3%,785587,250543.089108911,Chicago Booth (US),2,"$138,543",1,"$115,079","250,543","$112,000"
20.5%,789669,247122,Dartmouth Tuck (US),2,"$129,252",1,"$115,302","247,122","$117,870"
13.0%,793079,271666.607142857,Columbia (US),2,"$154,899",1,"$112,728","271,667","$116,768"
21.6%,793601,226344,Cornell Johnson (US),2,"$114,448",1,"$106,064","226,344","$111,896"
37.9%,808022,186936.505508153,IESE (Spain),2,"$92,831",1,"$117,260","186,937","$94,106"
19.0%,808742,242207.612903226,Duke Fuqua (US),2,"$131,608",1,"$111,812","242,208","$110,600"
44.2%,811215,51788.161290323,IIM-A (India),2,"$19,980",1,"$32,899","51,788","$31,808"
27.4%,811361,191368.12,Emory Goizueta (US),2,"$102,168",1,"$103,453","191,368","$89,200"
20.6%,820345,147078,Florida Hough (US),2,"$87,112",1,"$73,791","147,078","$59,966"
15.9%,823343,171501.142857143,Georgia Terry (US),2,"$107,857",1,"$81,163","171,501","$63,644"
13.7%,823343,202577,George Washington (US),2,"$112,982",1,"$84,208","202,577","$89,595"
22.8%,823343,207092,Georgetown McDonough (US),2,"$105,236",1,"$99,799","207,092","$101,856"
14.8%,829677,278191.154929577,Harvard (US),2,"$165,841",1,"$124,085","278,191","$112,350"
23.7%,851147,191274,Indiana Kelley (US),2,"$104,354",1,"$97,489","191,274","$86,920"
14.9%,851803,276922,MIT Sloan (US),2,"$154,122",1,"$118,406","276,922","$122,800"
52.4%,852724,73981.504623844,International Uni of Japan,2,"$26,493",1,"$52,012","73,982","$47,488"
26.2%,853902,152214,Iowa Tippie (US),2,"$81,586",1,"$80,737","152,214","$70,628"
20.0%,879718,200548,Maryland Smith (US),2,"$105,652",1,"$92,938","200,548","$94,896"
25.7%,883111,217033.245810977,London (Britain),2,"$119,680",1,"$115,688","217,033","$97,353"
15.2%,885895,157152,Miami (US),2,"$77,472",1,"$62,613","157,152","$79,680"
15.6%,886045,253312.380952381,Michigan Ross (US),2,"$143,312",1,"$111,047","253,312","$110,000"
33.6%,887201,174538.909090909,Minnesota Carlson (US),2,"$84,539",1,"$100,843","174,539","$90,000"
16.1%,893309,243216,New York Stern (US),2,"$137,560",1,"$107,875","243,216","$105,656"
19.8%,903664,223708,North Carolina at Chapel Hill Kenan-Flagler (US),2,"$115,724",1,"$102,170","223,708","$107,984"
9.8%,903664,290098,Northwestern Kellogg (US),2,"$176,998",1,"$116,864","290,098","$113,100"
32.8%,903841,174940,Notre Dame Mendoza (US),2,"$82,480",1,"$98,623","174,940","$92,460"
21.1%,905642,192737.6,Ohio State Fisher (US),2,"$101,404",1,"$91,312","192,738","$91,334"
17.5%,913215,176720.5,Pennsylvania State Smeal (US),2,"$106,949",1,"$84,345","176,721","$69,772"
6.3%,913215,329696,Pennsylvania Wharton (US),2,"$200,040",1,"$120,702","329,696","$129,656"
9.6%,923668,155310,Portland State (US),2,"$103,142",1,"$66,409","155,310","$52,168"
19.8%,925282,229492,UCLA Anderson (US),2,"$120,428",1,"$105,556","229,492","$109,064"
27.0%,935942,192170,Rice Jones (US),2,"$95,170",1,"$99,506","192,170","$97,000"
22.9%,942041,201918,Rochester Simon (US),2,"$80,780",1,"$86,553","201,918","$121,138"
18.9%,953128,151194,Temple Fox (US),2,"$100,920",1,"$79,079","151,194","$50,274"
16.4%,953964,196910,Southern Methodist Cox (US),2,"$110,838",1,"$87,694","196,910","$86,072"
18.5%,953964,211193,Southern California Marshall (US),2,"$116,000",1,"$97,022","211,193","$95,193"
25.7%,954085,165718,Texas Christian Neeley (US),2,"$77,318",1,"$81,331","165,718","$88,400"
18.2%,954085,225602,Texas at Austin McCombs (US),2,"$127,938",1,"$105,112","225,602","$97,664"
13.5%,956902,297794,Stanford (US),2,"$178,694",1,"$129,652","297,794","$119,100"
16.2%,963620,214241.326132167,Toronto Rotman (Canada),2,"$108,767",1,"$89,187","214,241","$105,474"
20.2%,969101,201108,Vanderbilt Owen (US),2,"$108,858",1,"$95,134","201,108","$92,250"
18.8%,977535,237294.446601942,Virginia Darden (US),2,"$129,494",1,"$109,335","237,294","$107,800"
20.0%,978742,185806,Wake Forest (US),2,"$103,174",1,"$88,693","185,806","$82,632"
22.0%,979645,190130,Washington Foster (US),2,"$109,790",1,"$96,814","190,130","$80,340"
24.7%,979645,193400,Washington in St Louis Olin (US),2,"$94,000",1,"$94,762","193,400","$99,400"
20.8%,987601,167150,Wisconsin (US),2,"$113,794",1,"$91,625","167,150","$53,356"
18.6%,998842,235188,Yale (US),2,"$120,788",1,"$104,147","235,188","$114,400"
